# This file was produced by samtools stats (1.11+htslib-1.11) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -d results/08_bqsr/bam/21-01533.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	16139886	c8661f5d	bdac51e8
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	172951045
SN	filtered sequences:	110952011
SN	sequences:	61999034
SN	is sorted:	1
SN	1st fragments:	30999517
SN	last fragments:	30999517
SN	reads mapped:	61999034
SN	reads mapped and paired:	61999034	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	61999034	# proper-pair bit set
SN	reads paired:	61999034	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	520742	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	11226872
SN	total length:	6664119052	# ignores clipping
SN	total first fragment length:	3002228422	# ignores clipping
SN	total last fragment length:	3661890630	# ignores clipping
SN	bases mapped:	6664119052	# ignores clipping
SN	bases mapped (cigar):	5961352743	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	0	# from NM fields
SN	error rate:	0.000000e+00	# mismatches / bases mapped (cigar)
SN	average length:	107
SN	average first fragment length:	97
SN	average last fragment length:	118
SN	maximum length:	122
SN	maximum first fragment length:	98
SN	maximum last fragment length:	122
SN	average quality:	22.6
SN	insert size average:	1572.7
SN	insert size standard deviation:	2189.3
SN	inward oriented pairs:	38782052
SN	outward oriented pairs:	3069925
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	61	78	3553	12320	27828	36387	95450	44901	47067	57009	59504	64304	63794	79037	81589	97460	108674	147825	156503	199771	259158	490180	1407036	1387154	2155159	7718381	6440396	4096668	2146256	2546743	842030	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	62	62	3584	12440	27500	37290	94971	46501	46776	57505	60319	63878	65001	80627	76245	102207	111318	153416	145769	187819	287910	500088	1453571	1321161	2551376	7476287	6361804	4102004	2050974	2534038	845666	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	63	193	3680	12847	27895	37446	97694	45497	47823	57960	60438	67451	71289	74238	93999	100761	124695	173563	136472	227138	247952	606977	1540329	1384267	3215965	6931991	6436909	3845279	1907396	2397950	865519	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	64	76	3717	12931	28765	38476	98395	47896	48594	59778	63485	65872	71793	79165	86440	106395	129212	152994	157226	219472	283556	584094	1493267	1365697	3137961	7116311	6336356	3907797	1910549	2393278	823744	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	65	88	3749	13028	29016	38131	99877	46910	49263	60049	62575	66261	73090	79187	88682	110436	112564	165252	149942	200916	269123	548476	1589539	1289170	3056746	7176083	6289229	3940837	1991878	2381679	822037	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	66	122	4051	13794	31609	41538	106964	53522	52072	67434	68850	75922	73452	93372	98548	117459	138140	155135	200805	238855	386635	764729	1494835	1462288	3809974	7050165	5881216	3475300	2140525	2049069	638074	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	67	103	3960	13570	30017	39622	104313	49874	52656	60825	63960	75481	68237	90190	94454	98914	140932	158727	177024	240442	276073	618333	1482037	1407195	3120458	7065574	6270777	3896548	1862283	2387581	813430	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	68	119	4022	13597	30615	40771	107175	50599	52905	61978	71802	68255	72909	93822	94833	98276	148922	164966	183480	231675	274534	710121	1489942	1421223	4003134	6857869	5859189	3714338	2187681	2025536	607395	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	69	292	4200	14332	30690	42035	109122	52302	54158	61618	75267	69843	81233	86243	104440	106781	140588	186962	160204	250162	296133	881651	1343932	1513540	4705818	6999392	5327513	3494975	2422918	1681447	421525	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	70	254	4344	14411	31668	41547	109576	52768	53171	65491	68570	75708	79350	83954	102873	100489	141638	171837	168562	232421	261327	625164	1466946	1438709	2828277	7178363	6303141	3928838	1860854	2408976	795565	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	71	247	4268	14823	32046	42379	110916	53343	52376	67126	70030	75764	75744	93857	97008	111627	155139	175662	178409	257171	313229	644830	1525510	1367388	3196075	6925653	6216580	3821587	1859584	2327712	801201	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	72	59	4585	15116	32483	43448	113511	53976	53173	72800	70170	73536	84446	97604	98502	118982	137437	175312	180859	235312	286561	703860	1480113	1440930	3460327	6914542	6091444	3715784	1772859	2286620	821725	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	73	72	4556	15231	33493	43605	114527	53402	55917	67331	70063	78092	79489	90207	105335	111477	158587	182951	177583	253158	294562	671433	1528549	1367464	3191002	6913163	6219462	3810389	1807297	2318285	783659	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	74	79	4560	15443	33839	43824	116729	56866	55474	72624	72931	80617	84352	101496	98735	118832	152556	182515	188759	266050	346820	625908	1533299	1374043	2946148	6982983	6208189	3755155	1947739	2308476	784748	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	75	125	4824	16204	34296	45592	118818	58996	58852	74609	78279	77859	95773	96804	114620	127076	151592	176543	190802	281470	269874	966007	1285962	1642880	5065609	6702888	5225257	3313817	2230767	1607174	401786	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	76	132	4699	15929	34812	46670	119807	62611	59269	73396	78024	88550	92381	96539	117127	116013	149032	182982	179226	281594	327630	691050	1555774	1361213	3172863	6904985	6122440	3725147	1748305	2293701	764902	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	77	137	4892	16443	35428	46779	122703	60221	60550	70563	78389	87434	86294	103716	114883	104716	161196	203916	171194	284673	299527	691969	1547522	1437801	3239370	6736526	6152905	3701805	1754966	2279427	761049	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	78	18791	7381	21664	36191	57434	130568	69590	64562	85349	85318	100894	110127	104393	137184	139483	197105	222287	226348	320962	450918	992325	1559346	1824267	4162907	6271980	5601162	3030813	1804292	1940398	592868	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	79	152	5046	16992	37906	51461	128357	67955	64847	80817	83517	89712	100745	109337	127439	134684	162831	190425	233540	292168	379606	763445	1514313	1380465	4070009	6597001	5697918	3470345	1974051	1932597	559479	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	80	73	5240	17566	38249	49195	131172	66633	62560	83255	79965	97295	96184	110187	104295	139976	141237	204663	211313	289255	350684	761700	1391158	1461445	3808306	7003151	5427905	3606810	2058623	1907250	560476	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	81	81	5320	17857	38779	52435	130684	72808	57609	91100	84826	89582	107070	102877	125073	133470	162959	180975	194606	317006	365438	701902	1594879	1383774	3451949	6447632	6158798	3517916	1633830	2229530	760402	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	82	76	5512	18082	40129	53216	136346	72435	66754	86589	89229	95717	105425	106051	118119	137084	175466	183376	202612	308633	361669	1326722	1075960	1801631	7124624	6640648	3845191	2692474	2466191	815724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	83	34153	5513	21193	43696	57226	148343	75170	70372	93369	95724	94105	107025	116503	134255	151665	201683	179780	276672	313744	433804	1058576	1356996	1581596	5451600	6797038	4446980	2956582	2408585	1190881	182158	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	84	111	5648	20167	42448	59296	141483	81621	67909	91841	95672	93594	116224	103795	144731	130443	189101	187524	213254	331673	398329	911926	1534709	1411688	4845926	6429932	5190829	3117026	2144470	1539503	369766	0	0	0	0	0	0	0	0	0	0	0	0	0	0
